City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
445,Saint-Marc,HT,19.1082,-72.6938,78.64,70,11,2.71,few clouds
446,Farafangana,MG,-22.8167,47.8333,70.38,64,100,13.82,overcast clouds
447,Port Keats,AU,-14.25,129.55,89.37,46,80,3.65,broken clouds
448,Borogontsy,RU,62.6683,131.1683,-6.66,98,99,6.06,overcast clouds
449,Berlevag,NO,70.8578,29.0864,19.9,85,67,15.35,broken clouds
450,Vitoria,BR,-20.3194,-40.3378,75.06,78,0,10.36,clear sky
451,Ojinaga,MX,29.5667,-104.4167,61.75,63,90,5.75,overcast clouds
452,Inuvik,CA,68.3499,-133.7218,-11.16,77,75,11.5,light snow
453,Pak Thong Chai,TH,14.7226,102.0251,64.65,85,74,2.77,broken clouds
454,Pasni,PK,25.2631,63.471,74.66,32,1,9.42,clear sky
455,Severodvinsk,RU,64.5635,39.8302,3.31,98,89,6.13,overcast clouds
456,Fortuna Foothills,US,32.6578,-114.4119,78.28,10,1,8.05,clear sky
457,Honiara,SB,-9.4333,159.95,84.88,73,99,5.46,overcast clouds
458,Meadow Lake,US,34.8014,-106.5436,56.68,30,1,1.32,clear sky
459,Aleksandrovka,UA,46.8383,32.7612,47.37,91,0,7.85,clear sky
460,Placerville,US,38.7296,-120.7986,63.14,47,1,0.0,clear sky
461,Miandrivazo,MG,-19.5167,45.4667,75.0,67,3,4.47,clear sky
462,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,82,75,9.37,broken clouds
463,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,58,0,8.95,clear sky
464,Olavarria,AR,-36.8927,-60.3225,64.18,94,99,18.68,overcast clouds
465,Nouadhibou,MR,20.931,-17.0347,66.18,68,17,25.32,few clouds
466,Stornoway,GB,58.2093,-6.3865,35.56,87,75,6.91,light rain
467,Vao,NC,-22.6667,167.4833,74.64,87,100,21.81,overcast clouds
468,Harrisonburg,US,38.4496,-78.8689,41.99,42,90,3.44,overcast clouds
469,Durban,ZA,-29.8579,31.0292,65.32,79,97,18.37,overcast clouds
470,Karaton,ID,-6.3424,106.1045,75.36,96,100,5.21,overcast clouds
471,Coos Bay,US,43.3665,-124.2179,60.78,94,90,10.36,overcast clouds
472,Concepcion Del Uruguay,AR,-32.4825,-58.2372,74.39,54,100,8.14,overcast clouds
473,Byron Bay,AU,-28.65,153.6167,73.35,87,99,12.39,overcast clouds
474,Baykit,RU,61.67,96.37,-2.7,100,98,2.06,overcast clouds
475,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.62,81,42,6.87,scattered clouds
476,Ishigaki,JP,24.3448,124.1572,69.93,83,75,25.32,light intensity shower rain
477,Opuwo,NA,-18.0607,13.84,68.76,28,13,4.9,few clouds
478,Kasongo-Lunda,CD,-6.4667,16.8167,68.49,98,62,0.63,broken clouds
479,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,69,75,26.46,broken clouds
480,Lakatoro,VU,-16.0999,167.4164,84.04,70,21,5.08,few clouds
481,Juneau,US,58.3019,-134.4197,33.85,86,90,0.0,light snow
482,Inyonga,TZ,-6.7167,32.0667,67.87,71,67,3.06,broken clouds
483,Natal,BR,-5.795,-35.2094,81.25,83,40,6.91,scattered clouds
484,Nola,IT,40.922,14.5329,57.06,77,76,14.92,broken clouds
485,Camacupa,AO,-12.0167,17.4833,62.31,98,99,1.01,heavy intensity rain
486,Sergeyevka,KZ,53.88,67.4158,15.15,87,83,11.81,broken clouds
487,Mount Gambier,AU,-37.8333,140.7667,64.31,55,4,10.36,clear sky
488,Pittsfield,US,42.4501,-73.2454,27.61,58,1,6.91,clear sky
489,Dingle,PH,10.9995,122.6711,81.09,86,100,8.21,overcast clouds
490,San Luis,AR,-33.295,-66.3356,64.09,72,75,18.41,light rain
491,Hanzhong,CN,33.0728,107.0303,46.54,73,71,2.04,broken clouds
492,Samarai,PG,-10.6167,150.6667,83.41,73,100,5.99,overcast clouds
493,Boca Raton,US,26.3587,-80.0831,71.62,64,20,9.22,few clouds
494,Beyneu,KZ,45.3167,55.2,30.58,53,65,11.81,broken clouds
495,Araouane,ML,18.9048,-3.5265,76.05,22,93,1.16,overcast clouds
496,Nanortalik,GL,60.1432,-45.2371,43.29,97,100,16.13,light rain
497,Christchurch,NZ,-43.5333,172.6333,55.6,94,90,14.97,light rain
498,Beni Mazar,EG,28.4962,30.8029,66.6,34,89,1.52,overcast clouds
499,Rosendal,NO,59.9867,6.0135,26.89,74,28,4.32,scattered clouds
500,Folldal,NO,62.1325,9.9968,13.73,96,100,2.42,light snow
501,Ternate,ID,0.8,127.4,82.76,78,87,3.62,overcast clouds
502,Ancud,CL,-41.8697,-73.8203,54.93,69,9,9.37,clear sky
503,The Valley,AI,18.217,-63.0578,80.46,72,11,8.97,few clouds
504,Barcelos,PT,41.5388,-8.6151,42.94,82,9,5.41,clear sky
505,Mayo,US,38.8876,-76.5119,42.75,42,40,0.0,scattered clouds
506,West Wendover,US,40.7391,-114.0733,42.01,39,1,0.0,clear sky
507,Griffith,US,41.5284,-87.4237,41.11,87,40,3.44,scattered clouds
508,Huangmei,CN,30.1924,116.025,51.35,74,0,3.85,clear sky
509,Caraquet,CA,47.7941,-64.9386,30.74,92,100,18.5,light snow
510,Kuching,MY,1.55,110.3333,79.02,89,20,4.61,few clouds
511,Puerto Castilla,HN,16.0167,-85.9667,75.15,94,75,0.0,broken clouds
512,Boende,CD,-0.2167,20.8667,72.95,84,87,1.97,overcast clouds
513,Lompoc,US,34.6391,-120.4579,78.94,44,1,9.22,clear sky
514,Acajutla,SV,13.5928,-89.8275,86.34,64,29,5.21,scattered clouds
515,Forlimpopoli,IT,44.1911,12.1287,53.26,93,75,5.75,heavy intensity rain
516,Paita,PE,-5.0892,-81.1144,66.36,83,52,13.69,broken clouds
517,Mahon,ES,39.8885,4.2658,46.96,87,75,9.22,broken clouds
518,Teahupoo,PF,-17.8333,-149.2667,80.56,76,59,16.33,light rain
519,Port-Gentil,GA,-0.7193,8.7815,77.34,87,100,4.25,overcast clouds
520,Sorong,ID,-0.8833,131.25,81.25,77,97,6.26,overcast clouds
521,Rio Gallegos,AR,-51.6226,-69.2181,51.85,54,75,41.43,broken clouds
522,Doka,SD,13.5167,35.7667,79.09,41,3,9.75,clear sky
523,Xicotencatl,MX,23.0167,-98.8833,70.47,69,98,3.56,overcast clouds
524,Goulburn,AU,-34.75,149.7167,55.49,73,99,10.92,overcast clouds
525,Abidjan,CI,5.3094,-4.0197,82.36,89,40,3.44,scattered clouds
526,Sumenep,ID,-7.0167,113.8667,80.11,82,100,5.77,light rain
527,High Level,CA,58.5169,-117.136,15.91,79,75,4.61,broken clouds
528,Inta,RU,66.0317,60.1659,-7.33,98,58,7.34,broken clouds
529,Diego De Almagro,CL,-26.3667,-70.05,65.8,35,0,4.74,clear sky
530,Sherbakul,RU,54.6316,72.3963,24.48,90,99,14.09,overcast clouds
531,Seguela,CI,7.9611,-6.6731,76.89,51,15,3.56,few clouds
532,La Palma,US,33.8464,-118.0467,81.37,28,1,5.75,clear sky
533,Port Blair,IN,11.6667,92.75,80.98,76,71,12.64,broken clouds
534,Manturovo,RU,58.3353,44.7619,31.14,97,100,12.46,snow
535,Chunoyar,RU,57.4467,97.3217,19.22,94,100,9.19,light snow
536,Kloulklubed,PW,7.0419,134.2556,82.9,75,98,15.35,overcast clouds
537,Bonavista,CA,48.6499,-53.1147,48.2,98,100,16.42,light rain
538,Conceicao Das Alagoas,BR,-19.9147,-48.3883,80.38,70,63,3.06,broken clouds
539,New Ulm,US,44.3125,-94.4605,39.6,65,1,14.97,clear sky
540,Mungwi,ZM,-10.1732,31.3694,61.41,94,49,3.89,scattered clouds
541,Taltal,CL,-25.4,-70.4833,64.18,75,16,1.72,few clouds
542,Hambantota,LK,6.1241,81.1185,75.54,100,75,5.75,broken clouds
543,Magistralnyy,RU,56.1725,107.4458,4.84,91,100,5.7,overcast clouds
544,Puerto Escondido,MX,15.85,-97.0667,78.58,63,3,0.89,clear sky
545,Fuling,CN,29.7022,107.3919,56.41,73,99,0.96,overcast clouds
546,Kudahuvadhoo,MV,2.6708,72.8944,81.32,71,100,17.72,overcast clouds
547,Pangkalanbuun,ID,-2.6833,111.6167,74.53,98,100,2.71,overcast clouds
548,Mangrol,IN,21.1167,70.1167,74.93,64,63,8.95,broken clouds
549,Qui Nhon,VN,13.7667,109.2333,76.77,94,100,18.97,overcast clouds
550,Gornyak,RU,50.9942,81.4661,14.56,71,66,15.17,broken clouds
551,Chernyshkovskiy,RU,48.4219,42.2308,41.59,97,74,10.07,broken clouds
552,Pangnirtung,CA,66.1451,-65.7125,26.6,39,90,8.05,overcast clouds
